,Age,Height(cm),Weight(kg),Gender,Physical Activity,Calories
187,48,210,56,0,2,2439
188,34,176,87,1,4,3135
189,40,192,41,1,0,1498
190,47,182,64,1,0,1679
191,25,164,78,0,0,2134
192,37,202,118,1,3,3457
193,53,207,116,1,1,2656
194,60,186,113,0,4,4093
195,20,138,110,0,4,4010
196,57,183,118,1,0,2230
197,18,172,95,0,0,2501
198,27,205,41,0,0,1761
199,45,184,55,1,1,1830
200,30,208,61,1,0,1831
201,22,150,50,1,2,1983
202,23,191,43,0,4,2755
203,32,202,44,1,0,1610
204,21,166,62,0,1,2195
205,48,164,61,1,0,1574
206,38,157,107,1,4,3341
207,58,163,49,1,4,2193
208,30,174,111,1,1,2589
209,48,141,71,0,4,2743
210,48,193,60,1,3,2402
211,44,173,44,1,4,2279
212,23,137,45,1,4,2258
213,23,145,57,1,2,2052
214,33,207,118,1,3,3514
215,57,181,77,1,2,2283
216,30,140,84,0,2,2658
217,34,138,115,0,4,3986
218,29,158,38,1,3,2005
219,18,175,95,1,2,2774
220,39,163,84,1,3,2691
221,54,194,54,1,1,1806
222,20,192,54,0,2,2510
223,19,197,37,0,2,2203
224,42,173,57,0,4,2743
225,46,186,63,0,4,2971
226,57,201,118,0,3,3985
227,36,176,116,1,3,3294
228,24,191,102,1,2,2911
229,36,149,80,1,1,2052
230,40,158,110,0,4,3977
231,26,198,52,1,4,2715
232,52,183,45,0,4,2421
233,35,197,99,0,2,3350
234,35,150,72,1,2,2211
235,32,143,116,1,0,2189
236,23,169,118,1,3,3385
237,59,158,79,0,0,1884
238,34,157,40,0,0,1421
239,33,159,98,1,3,2938
240,30,165,82,0,4,3436
241,48,158,117,0,4,4068
242,39,140,120,1,2,2824
243,53,206,56,0,1,2098
244,34,160,59,0,3,2507
245,53,209,105,1,1,2525
246,27,196,53,1,1,1963
247,44,165,86,1,2,2423
248,21,167,70,1,2,2358
249,47,213,49,0,1,2062
250,25,194,52,1,0,1705
251,31,143,115,1,4,3457
252,46,182,58,1,2,2090
253,20,165,42,1,3,2174
254,53,138,90,1,4,2807
255,50,170,62,0,1,1995
256,23,201,97,0,0,2666
257,34,164,72,0,0,1976
258,51,184,46,1,3,2108
259,23,173,78,1,3,2769
260,46,170,64,1,3,2357
261,41,180,112,0,3,3829
262,19,195,40,0,1,1996
263,28,196,94,0,1,2927
264,59,134,110,1,0,1949
265,25,135,112,1,0,2151
266,37,151,69,0,0,1832
267,21,139,89,0,2,2834
268,49,175,53,1,0,1521
269,39,171,99,0,3,3473
270,22,187,62,1,3,2596
271,22,177,106,1,0,2257
272,54,204,72,1,1,2078
273,37,212,53,1,1,1972
274,58,163,44,1,0,1329
275,25,180,73,1,2,2436
276,59,200,83,0,0,2190
277,25,160,75,1,2,2369
278,53,180,112,0,0,2582
279,43,188,119,0,1,3218
280,46,149,46,1,3,1958
281,23,139,48,0,4,2409
282,27,160,108,1,4,3467
283,43,181,91,0,2,2994
284,31,184,76,0,4,3445
285,50,195,64,1,3,2461
286,53,171,113,0,0,2546
287,53,203,85,1,4,3102
288,26,193,54,0,1,2186
289,19,149,108,1,1,2510
290,31,135,67,1,2,2094
291,47,182,90,0,2,2946
292,23,196,94,1,0,2189
293,38,141,69,1,3,2342
294,59,143,102,1,0,1893
295,52,192,48,0,1,1866
296,57,191,59,1,1,1839
297,40,137,106,1,0,2014
298,26,151,114,1,0,2228
299,49,179,66,1,1,1925
300,23,171,45,0,2,2140
301,50,192,53,1,4,2500
302,39,201,37,0,3,2289
303,46,156,94,1,1,2201
304,51,197,115,0,3,3941
305,48,203,36,1,3,2072
306,47,146,35,0,4,1883
307,57,169,88,1,4,2922
308,25,147,120,1,2,2951
309,55,148,114,0,1,2768
310,56,203,73,1,4,2867
311,24,190,113,1,0,2372
312,59,173,42,1,1,1535
313,52,180,84,1,2,2413
314,48,209,70,1,3,2647
315,25,203,112,1,2,3106
316,43,192,89,0,0,2349
317,41,148,82,0,4,3162
318,46,141,93,0,3,3018
319,30,174,97,0,2,3181
320,54,139,105,0,2,2876
321,25,198,67,1,3,2712
322,40,151,41,1,0,1345
323,44,174,60,1,1,1857
324,37,175,77,0,0,2099
325,28,174,116,1,0,2325
326,46,150,72,0,2,2343
327,23,145,78,1,0,1822
328,37,161,43,0,0,1472
329,23,170,85,0,0,2294
330,43,208,55,1,3,2439
331,32,206,94,1,0,2179
332,24,146,117,1,3,3239
333,52,137,51,0,2,1757
334,50,149,63,1,4,2422
335,46,188,73,1,2,2334
336,51,191,98,1,4,3276
337,38,209,89,1,1,2411
338,23,185,97,0,2,3324
339,20,194,35,1,2,1992
340,46,153,55,0,2,2012
341,21,163,94,1,0,2077
342,48,145,120,0,4,4026
343,24,193,41,0,0,1713
344,35,143,66,0,1,2007
345,18,153,86,0,2,2902
346,57,188,104,1,0,2093
347,19,191,42,0,0,1751
348,52,135,72,1,3,2253
349,44,201,77,0,4,3486
350,29,148,42,0,2,1854
351,57,146,68,0,2,2133
352,24,210,38,0,1,2019
353,28,199,96,0,2,3364
354,18,154,55,1,4,2575
355,60,199,72,0,0,2000
356,39,151,119,1,3,3185
357,19,158,117,0,4,4381
358,40,157,69,0,3,2654
359,33,163,69,0,4,3054
360,27,180,100,1,2,2810
361,58,193,100,1,3,2965
362,20,143,113,0,3,3751
363,21,161,58,1,3,2400
364,26,190,70,0,4,3401
365,41,155,60,0,3,2420
366,21,193,72,1,2,2511
367,55,140,83,1,3,2433
368,50,185,36,0,2,1820
369,20,171,43,1,4,2447
370,25,148,80,1,3,2652
371,54,203,86,1,0,1965
372,28,143,87,1,2,2439
373,44,153,67,0,0,1764
374,18,169,75,0,3,3108
375,39,198,85,0,3,3373
376,53,207,99,1,3,3061
377,26,166,40,0,3,2196
378,48,176,42,0,2,1895
379,41,160,72,1,3,2469
380,39,139,39,1,1,1471
381,45,185,106,1,2,2799
382,56,183,116,1,0,2213
383,41,168,109,1,0,2158
384,57,162,97,0,4,3499
385,25,204,38,1,3,2281
386,46,179,51,0,1,1883
387,42,164,35,0,4,2101
388,51,201,104,0,1,2965
389,46,139,44,1,4,2063
390,26,140,66,1,4,2620
391,18,164,48,1,2,2048
392,47,195,59,1,3,2404
393,50,137,56,1,3,2024
394,25,154,111,0,1,2987
395,28,137,84,1,2,2367
396,52,205,77,0,4,3436
397,46,194,90,1,4,3195
398,47,202,38,1,4,2320
399,42,136,107,0,3,3339
400,30,136,110,0,3,3526
401,37,200,106,0,1,3105
402,60,179,63,0,1,1994
403,32,164,119,0,0,2745
404,44,153,47,1,3,2010
405,31,193,113,1,0,2347
406,55,191,75,0,2,2631
407,21,205,106,0,0,2847
408,42,141,80,1,1,1983
409,33,186,113,1,1,2648
410,26,162,66,0,4,3044
411,33,211,43,0,2,2309
412,33,158,96,1,1,2312
413,34,160,86,0,3,3131
414,28,195,67,0,3,3040
415,57,146,72,1,2,2044
416,30,204,86,1,2,2704
417,33,172,111,1,1,2562
418,43,148,43,1,3,1927
419,20,177,55,1,3,2445
420,59,198,111,1,4,3480
421,34,168,112,1,3,3202
422,19,202,99,0,3,3926
423,18,182,36,1,2,1962
424,60,190,40,0,1,1643
425,33,148,120,0,1,3051
426,31,165,110,0,3,3756
427,56,137,82,1,3,2393
428,43,158,81,1,2,2324
429,20,209,113,1,3,3542
430,58,147,109,0,3,3320
431,47,175,87,0,1,2511
432,22,162,78,1,3,2717
433,54,149,38,0,2,1559
434,35,191,116,0,4,4484
435,56,175,52,1,2,1903
436,52,212,113,0,2,3602
437,28,166,89,0,0,2302
438,48,145,69,0,2,2225
439,40,172,84,1,4,3009
440,35,163,41,0,1,1679
441,47,158,54,1,3,2126
442,21,135,93,1,0,1961
443,30,156,67,0,4,2972
444,51,162,71,0,0,1832
445,31,174,82,0,4,3507
446,34,172,70,0,1,2280
447,39,209,109,1,0,2320
448,40,175,35,0,4,2223
449,56,134,57,0,2,1824
450,24,178,90,1,4,3281
451,49,154,39,0,3,1848
452,57,210,91,0,3,3435
453,57,168,75,1,1,1945
454,29,185,82,1,1,2273
455,47,183,66,1,0,1705
456,22,185,62,1,3,2585
457,47,213,39,1,3,2181
458,55,178,61,0,2,2243
459,30,180,95,1,1,2411
460,31,211,77,1,0,2014
461,38,170,117,0,1,3101
462,57,157,97,1,4,3009
463,43,189,81,1,4,3032
464,37,192,105,1,4,3520
465,19,157,49,1,4,2479
466,35,186,116,0,1,3212
467,45,142,58,0,3,2227
468,35,163,105,0,4,3949
469,22,178,73,1,4,2999
470,37,153,117,1,2,2857
471,20,146,55,0,3,2436
472,57,136,47,1,4,2007
473,37,172,96,0,3,3432
474,36,206,92,0,1,2894
475,42,160,114,1,1,2496
476,60,208,92,1,2,2608
477,49,151,61,1,4,2407
478,36,149,117,0,4,4116
479,46,172,80,1,4,2889
480,53,192,113,0,1,3056
481,27,180,35,0,1,1743
482,49,189,54,0,0,1728
483,38,200,111,0,4,4407
484,20,195,41,1,4,2554
485,23,193,114,0,2,3737
486,38,146,96,0,3,3207
487,53,148,113,0,2,3117
488,27,150,59,1,1,1843
489,30,169,84,1,1,2224
490,44,173,85,1,3,2723
491,19,135,117,0,4,4172
492,31,199,35,0,3,2305
493,26,150,76,1,4,2854
494,55,210,81,0,1,2569
495,19,191,55,0,4,3104
496,33,186,93,1,2,2698
497,47,147,77,0,2,2415
498,40,157,115,0,2,3340
499,25,150,40,1,1,1614
500,30,143,36,1,2,1695
501,26,185,64,0,3,2908
502,58,183,70,0,3,2717
503,54,146,57,1,4,2267
504,59,147,79,1,2,2135
505,58,200,48,1,4,2393
506,33,170,86,1,0,1951
507,45,204,108,0,3,3896
508,57,135,112,1,3,2854
509,47,156,85,1,3,2610
510,43,197,53,0,4,2849
511,54,188,115,0,4,4226
512,36,200,51,0,1,2099
513,51,174,114,0,4,4106
514,28,164,85,1,3,2795
515,47,149,99,1,1,2229
516,20,194,82,1,1,2365
517,44,143,119,0,3,3655
518,19,188,119,0,0,2972
519,53,165,68,0,0,1788
520,55,157,42,0,0,1310
521,43,202,113,1,3,3332
522,44,175,98,0,2,3086
523,58,196,36,1,3,1960
524,34,188,69,0,0,2066
525,19,180,48,0,1,2045
526,55,160,75,1,1,1923
527,54,174,119,0,1,3040
528,19,176,45,0,1,1963
529,53,149,117,0,1,2846
530,48,135,89,1,1,2036
531,24,168,70,1,0,1813
532,58,142,114,0,0,2361
533,44,206,50,0,0,1796
534,33,193,95,1,0,2137
535,22,213,86,1,3,3117
536,59,159,82,1,3,2489
537,26,138,110,1,4,3381
538,36,197,80,0,3,3279
539,30,147,90,1,1,2207
540,28,210,88,0,3,3650
541,56,137,120,1,1,2391
542,53,145,59,1,0,1455
543,23,167,95,0,3,3505
544,30,184,76,0,0,2183
545,55,152,101,0,1,2555
546,26,212,57,0,4,3271
547,54,144,55,1,3,2015
548,28,160,109,1,2,2836
549,35,171,108,0,2,3343
550,47,153,116,0,0,2531
551,26,212,75,1,4,3202
552,55,164,113,1,2,2731
553,58,142,61,1,0,1440
554,47,137,91,0,3,2929
555,37,158,91,0,4,3525
556,48,137,110,1,4,3194
557,29,205,74,1,3,2831
558,34,135,110,1,2,2690
559,26,213,85,1,1,2448
560,45,189,57,1,3,2355
561,53,147,65,0,4,2591
562,49,209,76,0,4,3479
563,37,179,98,0,4,3895
564,55,178,120,1,0,2244
565,59,188,69,1,2,2189
566,32,160,74,0,2,2582
567,31,199,106,0,0,2744
568,50,137,95,0,1,2385
569,45,195,42,1,4,2365
570,59,138,113,1,4,3162
571,32,142,98,0,3,3279
572,39,207,78,1,2,2543
573,47,190,59,1,2,2136
574,37,170,40,0,1,1691
575,56,163,64,0,4,2679
576,41,210,62,1,4,2838
577,53,159,84,1,1,2045
578,40,181,102,1,4,3378
579,42,148,106,0,0,2376
580,47,150,72,1,1,1890
581,28,165,59,1,0,1659
582,26,208,117,0,2,3884
583,18,206,63,0,0,2182
584,58,197,75,1,3,2587
585,46,167,84,1,0,1851
586,57,158,72,0,2,2305
587,39,145,40,0,2,1702
588,31,155,63,1,0,1651
589,60,166,98,0,3,3203
590,53,171,110,0,1,2862
591,46,176,57,0,4,2727
592,24,154,110,0,2,3355
593,26,195,117,0,0,2932
594,51,149,45,0,1,1535
595,51,141,106,0,1,2606
596,18,156,45,1,3,2189
597,50,194,83,1,2,2479
598,45,173,70,1,1,1974
599,35,210,106,0,0,2781
600,28,142,114,1,2,2821
601,18,160,88,0,2,2996
602,41,150,118,1,0,2191
603,48,153,51,0,3,2127
604,55,194,41,1,2,1843
605,41,207,110,1,2,2989
606,51,206,76,1,4,2978
607,46,188,110,0,0,2643
608,52,142,48,1,4,2101
609,40,155,87,1,0,1870
610,55,163,43,0,3,1956
611,38,141,89,0,4,3309
612,36,204,50,1,0,1663
613,18,166,78,0,0,2193
614,51,146,114,1,1,2383
615,41,171,104,0,2,3207
616,41,197,115,1,4,3693
617,24,198,49,1,2,2185
618,32,195,69,0,2,2738
619,54,134,111,0,3,3298
620,31,145,65,1,1,1874
621,19,179,51,1,4,2643
622,58,141,42,1,0,1225
623,32,165,89,0,1,2599
624,20,202,69,1,0,1949
625,32,196,81,1,0,1998
626,39,176,106,1,0,2164
627,53,189,105,1,0,2129
628,21,154,99,1,3,3017
629,49,136,101,0,4,3450
630,21,145,57,0,2,2214
631,44,204,85,1,1,2303
632,42,163,58,1,2,2025
633,55,135,38,0,0,1119
634,53,202,70,1,3,2572
635,46,167,108,0,4,3943
636,24,152,59,1,3,2346
637,29,172,87,0,3,3302
638,36,156,51,0,3,2269
639,38,139,54,1,4,2304
640,27,211,90,0,2,3337
641,27,139,94,0,3,3211
642,43,211,119,0,3,4228
643,26,152,79,0,4,3284
644,34,178,111,1,1,2582
645,52,174,63,1,0,1612
646,60,177,43,0,1,1613
647,50,135,119,0,1,2814
648,39,155,104,0,0,2404
649,56,173,106,0,2,3132
650,49,182,111,0,3,3744
651,20,147,81,1,0,1878
652,26,183,92,0,3,3538
653,35,174,120,1,3,3354
654,35,147,106,0,2,3123
655,21,180,117,0,2,3720
656,23,182,62,1,0,1782
657,39,145,45,0,1,1602
658,60,147,78,0,4,2846
659,44,146,38,1,2,1644
660,31,188,91,0,4,3864
661,48,177,90,1,0,1944
662,25,209,118,0,2,3921
663,57,150,102,1,4,3056
664,54,170,87,0,1,2424
665,22,134,61,0,1,1957
666,60,163,42,0,2,1693
667,50,166,63,0,0,1734
668,59,202,112,1,0,2224
669,46,174,75,1,4,2813
670,60,182,112,1,2,2770
671,40,155,61,0,0,1706
672,42,199,38,0,3,2266
673,19,179,67,1,1,2116
674,31,173,114,1,1,2617
675,25,134,89,0,2,2761
676,40,151,59,1,4,2446
677,47,185,101,1,0,2101
678,42,166,113,1,2,2828
679,37,180,103,1,3,3100
680,49,186,73,0,4,3193
681,41,204,60,0,3,2826
682,28,174,70,0,3,2936
683,55,174,95,1,1,2237
684,56,138,53,1,3,1936
685,28,190,102,1,1,2554
686,59,158,102,0,0,2253
687,49,162,119,1,3,3170
688,47,146,62,0,2,2096
689,31,140,92,0,1,2498
690,26,185,115,1,3,3400
691,54,206,48,1,3,2235
692,31,136,70,0,2,2329
693,54,151,100,0,2,2861
694,31,205,69,1,4,3014
695,45,194,87,1,1,2280
696,36,151,52,1,1,1705
697,52,182,90,0,4,3557
698,60,164,67,0,2,2220
699,57,158,51,0,0,1447
700,52,183,54,1,1,1771
701,21,147,93,0,4,3648
702,32,171,82,1,3,2754
703,27,186,77,0,1,2556
704,23,145,62,1,3,2364
705,29,179,110,0,3,3892
706,45,159,90,1,0,1893
707,29,167,71,0,3,2891
708,25,171,69,0,2,2621
709,53,154,104,0,0,2303
710,57,183,49,0,0,1559
711,25,140,105,1,3,3008
712,54,151,110,1,2,2633
713,56,158,61,0,3,2321
714,22,186,91,1,3,3053
715,54,157,107,1,2,2618
716,26,145,81,0,1,2367
717,27,145,69,0,4,2955
718,32,206,81,0,1,2723
719,55,190,76,0,1,2345
720,34,169,47,1,3,2170
721,30,192,79,1,3,2834
722,57,136,45,1,3,1790
723,58,178,115,0,1,2961
724,51,165,92,0,2,2825
725,25,151,39,1,0,1401
726,45,157,106,1,4,3266
727,58,188,102,0,4,3852
728,39,158,66,0,1,2075
729,25,159,48,0,4,2569
730,25,168,81,0,1,2527
731,40,171,40,0,2,1887
732,54,155,113,0,4,3875
733,42,205,109,0,1,3154
734,30,154,49,1,2,1934
735,57,206,71,1,0,1794
736,21,209,93,1,3,3215
737,51,136,55,1,3,1995
738,40,197,86,1,1,2309
739,59,148,74,1,4,2536
740,51,194,82,0,0,2194
741,28,168,35,0,1,1656
742,21,201,119,1,1,2859
743,59,153,61,0,3,2250
744,38,149,94,1,3,2783
745,30,202,117,1,1,2784
746,44,208,95,1,1,2447
747,54,142,44,0,2,1631
748,21,208,70,1,2,2554
749,60,169,47,0,3,2050
750,46,150,52,0,2,1927
751,51,211,108,1,2,2912
752,35,162,36,0,4,2183
753,36,192,54,0,1,2102
754,57,170,111,1,1,2411
755,38,173,104,1,0,2136
756,48,211,110,0,4,4374
757,46,181,90,1,2,2544
758,57,189,95,1,1,2289
759,30,207,98,1,2,2891
760,57,140,66,0,1,1816
761,24,151,42,0,2,1921
762,54,183,66,0,2,2393
763,20,195,96,1,0,2223
764,48,182,54,1,3,2247
765,37,198,110,0,0,2762
766,32,173,109,0,3,3790
767,25,138,44,0,4,2276
768,51,156,52,0,2,1928
769,26,182,38,0,4,2514
770,56,180,40,1,4,2152
771,28,160,41,0,2,1932
772,57,189,47,1,1,1678
773,57,185,119,0,0,2696
774,43,185,114,1,2,2927
775,41,186,58,1,1,1901
776,29,152,42,1,4,2244
777,59,161,56,0,3,2201
778,39,203,97,0,4,4067
779,39,195,47,1,4,2503
780,27,180,70,1,3,2648
781,57,188,91,0,0,2263
782,34,203,59,1,3,2544
783,48,139,39,1,1,1417
784,60,190,49,0,1,1809
785,19,152,36,0,0,1430
786,60,141,107,0,0,2229
787,27,147,66,1,1,1920
788,49,204,65,0,1,2282
789,47,187,76,0,1,2388
790,43,178,118,0,2,3532
791,49,205,93,0,2,3161
792,34,196,71,0,0,2144
793,55,142,73,1,0,1589
794,27,203,40,1,0,1595
795,59,161,83,0,2,2538
796,42,163,83,1,3,2653
797,37,161,40,0,2,1839
798,59,181,44,0,2,1877
799,23,183,49,1,0,1641
800,39,159,39,1,4,2150
801,20,153,90,1,4,3167
802,47,144,67,0,2,2185
803,27,187,106,0,4,4279
804,20,211,85,0,0,2551
805,44,157,109,1,4,3327
806,33,149,99,0,4,3690
807,21,159,81,1,2,2477
808,57,184,36,0,1,1553
809,23,160,37,1,1,1630
810,36,137,110,0,3,3476
811,34,136,120,0,3,3718
812,46,136,94,0,1,2391
813,51,146,58,1,1,1671
814,18,178,108,0,3,3945
815,20,212,44,1,0,1709
816,50,158,79,0,1,2229
817,55,180,70,0,0,1893
818,18,147,57,1,1,1859
819,48,208,36,1,2,1886
820,49,191,45,0,1,1828
821,41,171,93,0,2,2979
822,23,202,79,1,1,2343
823,59,207,82,0,0,2214
824,52,191,55,0,0,1735
825,31,197,53,1,0,1696
826,31,162,117,1,4,3604
827,27,193,106,0,0,2737
828,54,205,67,0,3,2869
829,54,141,79,1,4,2624
830,34,135,60,1,4,2419
831,22,177,99,1,3,3132
832,36,134,58,1,1,1709
833,20,199,104,0,1,3194
834,54,140,86,0,0,1926
835,46,187,93,0,2,3054
836,22,169,40,1,1,1712
837,22,179,57,0,2,2458
838,42,202,68,0,4,3287
839,21,149,80,0,3,3029
840,59,136,69,1,3,2158
841,31,143,70,1,4,2666
842,42,211,67,1,1,2116
843,56,142,66,0,0,1603
844,32,168,53,1,3,2276
845,31,188,40,0,2,2093
846,47,196,110,1,0,2242
847,43,189,62,1,0,1704
848,46,138,116,1,0,2098
849,51,208,40,0,2,2066
850,48,204,80,0,3,3219
851,29,169,40,0,0,1524
852,45,180,96,0,4,3767
853,37,211,100,1,4,3544
854,32,152,101,0,4,3779
855,23,202,120,1,1,2864
856,30,145,99,1,0,2018
857,33,184,49,0,2,2232
858,18,204,62,1,1,2165
859,35,209,85,1,1,2378
860,57,163,44,1,4,2113
861,27,160,73,0,1,2311
862,30,161,67,1,0,1723
863,50,189,88,0,1,2599
864,31,134,77,0,1,2182
865,53,150,107,1,3,2884
866,43,199,76,1,2,2450
867,35,173,69,1,2,2278
868,58,194,66,0,2,2440
869,45,194,97,1,3,3019
870,39,177,57,1,0,1624
871,34,197,81,0,3,3322
872,43,198,46,0,2,2186
873,36,155,62,1,3,2320
874,39,141,104,0,0,2324
875,40,201,35,1,1,1678
876,34,147,47,0,2,1907
877,26,135,39,0,2,1722
878,26,186,69,0,3,3032
879,49,180,120,1,1,2616
880,24,139,57,0,2,2143
881,19,182,117,0,2,3753
882,26,147,46,1,1,1671
883,50,139,96,0,0,2109
884,60,151,61,0,3,2224
885,19,168,65,1,2,2304
886,55,179,77,1,1,2029
887,29,168,79,1,0,1887
888,27,163,83,1,1,2204
889,52,212,49,1,0,1598
890,18,135,79,0,2,2623
891,21,171,43,0,4,2595
892,45,190,45,1,4,2389
893,35,211,90,1,3,3073
894,57,176,97,1,1,2259
895,51,158,42,0,3,1931
896,29,174,82,1,2,2509
897,43,185,95,1,4,3254
898,18,151,44,1,0,1493
899,21,172,75,0,4,3418
900,55,202,35,1,2,1796
901,58,192,106,0,1,2888
902,44,185,66,0,4,3060
903,54,207,77,1,1,2154
904,28,177,89,1,3,2928
905,28,196,51,0,4,2951
906,47,189,105,1,0,2160
907,38,150,42,1,4,2158
908,31,202,45,1,0,1626
909,24,135,54,0,1,1819
910,35,181,115,0,1,3161
911,41,177,41,0,2,1944
912,44,200,118,0,1,3271
913,52,175,37,1,1,1521
914,19,153,47,0,4,2554
915,40,150,89,1,2,2421
916,28,134,60,1,2,2009
917,43,144,66,0,3,2448
918,18,199,96,1,1,2576
919,36,191,57,1,4,2679
920,44,190,95,0,1,2781
921,60,186,45,1,2,1829
922,57,168,51,1,4,2266
923,29,199,74,0,2,2898
924,46,210,58,0,3,2780
925,26,191,114,0,4,4530
926,22,166,109,0,0,2664
927,38,213,73,0,4,3558
928,47,198,90,1,1,2323
